type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,reviewed_disposition,replacement_authority,review_evidence,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
StockSupplyEvent,struct,Assets/Scripts/Services/Buildings/SO/StockInfo.cs,97,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,NonResult,Post-result event wrapper containing StockSupplyResult unchanged.,NonResult,Post-result event wrapper containing StockSupplyResult unchanged.,True,StockSupplyResult,Assets/Scripts/Services/Buildings/SO/StockInfo.cs:57-106,N/A,excluded,StockSupplyResult is the single terminal authority.,2,Assets/Scripts/Services/Offense/OffenseRewardSystem.cs:441:OffenseStockRewardGrantHandler.OffenseRewardPhysicalItemGrant | Assets/Scripts/Views/UI/WarehouseFeatureCommandService.cs:391:WarehouseFeatureCommandService.MigratedProducerOutcomeSubject,2,1,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,Assets/Scripts/Views/UI/WarehouseFeatureCommandService.cs,Assets/Scripts/Services/Buildings/SO/StockInfo.cs | Assets/Scripts/Services/Offense/OffenseRewardSystem.cs | Assets/Scripts/Services/Operation/OperatingDaySettlementApplicationAdapter.cs | Assets/Scripts/Views/UI/WarehouseFeatureCommandService.cs,
StockSupplyResult,struct,Assets/Scripts/Services/Buildings/SO/StockInfo.cs,57,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,Record,"Terminal facility stock-delivery result with requested/delivered amount, cost, source and failure reason.",Record,"Terminal facility stock-delivery result with requested/delivered amount, cost, source and failure reason.",True,MigratedProducerOutcomeReceipt,"Assets/Scripts/Services/Buildings/SO/StockInfo.cs:57-96,220-430 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs:117-173 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeRuntime.cs:550-707,928-1015 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeDefinition.cs:524-552 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/Editor/MigratedProducerOutcomeDebugScenarios.cs:19-125 | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r80/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r161/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r37/full-world-round-trip-playmode-report.txt",recorded,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",7,Assets/Scripts/Services/Buildings/SO/StockInfo.cs:240:StockSupplyService.StockSupplyEvent | Assets/Scripts/Services/Buildings/SO/StockInfo.cs:357:StockSupplyService.EconomyTransactionContext | Assets/Scripts/Services/Buildings/SO/StockInfo.cs:418:StockSupplyService.Fail | Assets/Scripts/Services/Buildings/SO/StockInfo.cs:426:StockSupplyService.EconomyTransactionContext | Assets/Scripts/Services/Infrastructure/OperatingDaySettlementSaveService.cs:589:OperatingDaySettlementSaveService.FromSaveData | Assets/Scripts/Services/Infrastructure/OperatingDaySettlementSaveService.cs:592:OperatingDaySettlementSaveService.OperatingDaySettlementPersistenceState | Assets/Scripts/Services/Offense/OffenseRewardSystem.cs:378:OffenseStockRewardGrantHandler.OffenseStockRewardGrantHandler,0,0,sourceLabel,cost | deliveredAmount | requestedAmount,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,Assets/Scripts/Views/UI/WarehouseFeatureCommandService.cs,Assets/Scripts/Services/Buildings/SO/StockInfo.cs | Assets/Scripts/Services/Offense/OffenseRewardSystem.cs | Assets/Scripts/Services/Operation/OperatingDaySettlementApplicationAdapter.cs | Assets/Scripts/Views/UI/WarehouseFeatureCommandService.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs
SubstanceUseResult,struct,Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs,179,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,NonResult,Compatibility projection of the authoritative CharacterConsumablesSubstanceResult.,NonResult,Compatibility projection of the authoritative CharacterConsumablesSubstanceResult.,True,CharacterConsumablesSubstanceResult,Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs:179-250 | Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs:1490-1545,N/A,excluded,Recording both would duplicate the same substance operation.,6,Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs:223:SubstanceUseResult.Failed | Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs:229:SubstanceUseResult.Failed | Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs:238:SubstanceUseResult.FromCore | Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs:1713:CharacterConsumablesCompatibilityAdapter.FromCore | Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs:1726:CharacterConsumablesCompatibilityAdapter.FromCore | Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs:1743:CharacterConsumablesCompatibilityAdapter.FromCore,0,0,itemDefinitionId | itemStackId,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,,Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs | Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs | Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs,
SurgeryMaterialTerminalAdvanceResult,struct,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs,11,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Internal child-custody drain coordination result used before a surgery order reaches a terminal state.,NonResult,Internal child-custody drain coordination result used before a surgery order reaches a terminal state.,True,surgery terminal outcome plus FacilityBufferDestinationCustodyDrain receipt,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs:28-110,N/A,excluded,Items owns the physical drain and the enclosing surgery order owns the completed/failed/cancelled result.,5,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs:67:SurgeryMaterialTerminalRuntime.TryBeginOrResume | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs:227:SurgeryMaterialTerminalRuntime.SurgeryMaterialTerminalRuntime | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs:265:SurgeryMaterialTerminalRuntime.FromChildFailure | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs:271:SurgeryMaterialTerminalRuntime.Deferred | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs:276:SurgeryMaterialTerminalRuntime.Conflict,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalRuntime.cs | Assets/Scripts/Services/Medical/SurgeryRuntime.cs,
SurgeryMaterialTerminalCheckpointGcResult,struct,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs,13,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Durable-save garbage-collection status that clears only already-persisted surgery terminal join identity.,NonResult,Durable-save garbage-collection status that clears only already-persisted surgery terminal join identity.,True,durably saved surgery terminal outcome and child physical-drain authority,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs:28-105,N/A,excluded,Completed surgery history remains authoritative; checkpoint cleanup is not a new gameplay result.,5,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs:301:SurgeryMaterialTerminalCheckpointGcCoordinator.OnDurableSaveCommitted | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs:361:SurgeryMaterialTerminalCheckpointGcCoordinator.SurgeryMaterialTerminalCheckpointGcCoordinator | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs:396:SurgeryMaterialTerminalCheckpointGcCoordinator.SurgeryMaterialTerminalCheckpointGcCoordinator | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs:423:SurgeryMaterialTerminalCheckpointGcCoordinator.Deferred | Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs:428:SurgeryMaterialTerminalCheckpointGcCoordinator.Corruption,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Medical/SurgeryMaterialTerminalCheckpointGc.cs,
SurgeryUiCommandResult,struct,Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs,21,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,UI success/rejection wrapper around surgery-order commands.,NonResult,UI success/rejection wrapper around surgery-order commands.,True,SurgeryOrder creation and terminal surgery outcome,Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs:21-47,N/A,excluded,The surgery order and terminal procedure result own gameplay truth.,17,Assets/Scripts/Views/Buildings/UI/SurgeryBuildingPanelPresenter.cs:250:SurgeryBuildingPanelPresenter.Success | Assets/Scripts/Views/Buildings/UI/SurgeryBuildingPanelPresenter.cs:251:SurgeryBuildingPanelPresenter.Rejected | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:510:CharacterSurgeryWindowService.Schedule | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:531:CharacterSurgeryWindowService.Cancel | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:842:CharacterSurgeryWindowService.TrySchedule | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:857:CharacterSurgeryWindowService.Rejected | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:875:CharacterSurgeryWindowService.Success | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:876:CharacterSurgeryWindowService.Rejected | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:878:CharacterSurgeryWindowService.TryCancel | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:890:CharacterSurgeryWindowService.Rejected | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:898:CharacterSurgeryWindowService.Success | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs:899:CharacterSurgeryWindowService.Rejected | Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs:36:SurgeryUiCommandResult.Success | Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs:38:SurgeryUiCommandResult.SurgeryUiCommandResult | Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs:39:SurgeryUiCommandResult.Rejected | Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs:41:SurgeryUiCommandResult.SurgeryUiCommandResult | Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs:42:SurgeryUiCommandResult.Rejected,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,Assets/Scripts/Views/Buildings/UI/SurgeryBuildingPanelPresenter.cs | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs | Assets/Scripts/Views/UI/CharacterSurgeryWindowView.cs | Assets/Scripts/Views/UI/Core/CharacterSurgeryUiPresentation.cs | Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs,Assets/Scripts/Views/Buildings/UI/SurgeryBuildingPanelPresenter.cs | Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs | Assets/Scripts/Views/UI/CharacterSurgeryWindowView.cs | Assets/Scripts/Views/UI/Core/CharacterSurgeryWindowContracts.cs,
SurgicalPartDiscardResult,struct,Assets/Scripts/Services/Medical/SurgeryRuntimeContracts.cs,232,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,"Compatibility/UI projection reporting whether the canonical physical surgical-part sink commit completed, remains pending or was rejected.",NonResult,"Compatibility/UI projection reporting whether the canonical physical surgical-part sink commit completed, remains pending or was rejected.",True,PhysicalItemBatchDispositionReceipt,Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2287-2437 | Assets/Scripts/Services/Items/ItemPileInfoPanel.cs:622-650,N/A,excluded,"The already-connected PhysicalItemBatchDispositionReceipt owns the stable operation, stack, quantity, mass and commit identity.",7,Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2289:SurgicalPartRuntime.TryDiscardOwnedStack | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2301:SurgicalPartRuntime.PhysicalItemTransformOutput | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2314:SurgicalPartRuntime.PhysicalItemTransformOutput | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2317:SurgicalPartRuntime.PhysicalItemTransformOutput | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2423:SurgicalPartRuntime.PhysicalItemTransformInput | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2427:SurgicalPartRuntime.PhysicalItemTransformInput | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:2431:SurgicalPartRuntime.RejectDiscard,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,Assets/Scripts/Services/Items/ItemPileInfoPanel.cs,Assets/Scripts/Services/Items/ItemPileInfoPanel.cs | Assets/Scripts/Services/Medical/SurgeryRuntimeContracts.cs | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs,
TradeInventoryOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryOutcomeReceipts.cs,132,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,3,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalDispositionOutcomeParticipant.cs:191:DefaultPhysicalBatchDispositionOutcomeParticipant.GameplayOutcomeParticipant | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalRelocationOutcomeParticipant.cs:202:DefaultPhysicalItemRelocationOutcomeParticipant.GameplayOutcomeFact | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/WastePolicyGameplayOutcomeParticipant.cs:137:WastePolicyGameplayOutcomeParticipant.GameplayEntityId,0,0,ownerRevision | subjectCount | subjects | Subjects,absoluteDay | factCount | metricCount | participantCount | provenanceCount | subjectCount | tagCount,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalDispositionOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalRelocationOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/WastePolicyGameplayOutcomeParticipant.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryOutcomeAdapter.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryOutcomeReceipts.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalDispositionOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/TradeInventoryPhysicalRelocationOutcomeParticipant.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/TradeInventory/WastePolicyGameplayOutcomeParticipant.cs
UsageLedgerEvent,class,Assets/Scripts/Models/Evolution/Core/EvolutionHistoryModels.cs,51,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,NonResult,"Legacy derived evolution-history/evidence projection, not the gameplay command that produced the fact.",NonResult,"Legacy derived evolution-history/evidence projection, not the gameplay command that produced the fact.",True,Originating typed gameplay outcome,Assets/Scripts/Models/Evolution/Core/EvolutionHistoryModels.cs:50-89 | Assets/Scripts/Models/Evolution/Core/UsageLedgerCompactor.cs:7-90,N/A,excluded,The new outcome ledger records the originating typed result once; equipment evolution may reference its outcome/evidence ID without treating this mutable compacting DTO as gameplay truth.,6,Assets/Scripts/Models/Evolution/Core/EvolutionHistoryModels.cs:65:UsageLedgerEvent.Clone | Assets/Scripts/Models/Evolution/Core/EvolutionHistoryModels.cs:68:UsageLedgerEvent.<unknown> | Assets/Scripts/Models/Evolution/Core/UsageLedgerCompactor.cs:30:UsageLedgerCompactor.Record | Assets/Scripts/Models/Evolution/Core/UsageLedgerCompactor.cs:58:UsageLedgerCompactor.<unknown> | Assets/Scripts/Models/Evolution/Equipment/EquipmentEvolutionModels.cs:93:EquipmentEvolutionFormulaEvidenceRecord.<unknown> | Assets/Scripts/Models/Evolution/Equipment/EquipmentEvolutionModels.cs:105:EquipmentEvolutionFormulaEvidenceRecord.<unknown>,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Combat/EquipmentEvolutionRuntime.cs | Assets/Scripts/Services/Evolution/EvolutionHistoryNarrativeRuntime.cs,Assets/Scripts/Services/Character/Core/GameplayNarrativeSourceCatalog.cs | Assets/Scripts/Services/Evolution/EvolutionHistoryNarrativeRuntime.cs
V20ContentEffectsResolvedEvent,struct,Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,8,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,Post-resolution event envelope carrying a subset of V20ResolvedEventResult fields for adapters and presentation.,NonResult,Post-resolution event envelope carrying a subset of V20ResolvedEventResult fields for adapters and presentation.,True,V20ResolvedEventResult,"Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:8-30,90-123",N/A,excluded,"The canonical V20 result owns definition, resolution, participants, effects and terminal metadata; this event would duplicate it.",2,Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:114:V20SocietyEventAlertProjection.V20ContentEffectsResolvedEvent | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:1812:V20CampaignApplicationAdapter.DomainFailure,2,4,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,Assets/Scripts/Services/Economy/CropPlotRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireProducerAdapters.cs | Assets/Scripts/Services/Run/SeasonalArcaneEventApplicationAdapters.cs | Assets/Scripts/Services/Run/SeasonalWildlifeVisitorApplicationAdapter.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,
V20ResolvedEventResult,struct,Assets/Scripts/Services/Run/V20CampaignRuntime.cs,1307,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,Record,"Canonical content resolution for society, seasonal, faction, life and guest events, preserving participants, effects, terminal narrative, risk and occurrence identity.",Record,"Canonical content resolution for society, seasonal, faction, life and guest events, preserving participants, effects, terminal narrative, risk and occurrence identity.",True,MigratedProducerOutcomeReceipt,"Assets/Scripts/Services/Run/V20CampaignRuntime.cs:1307-1398 | Assets/Scripts/Services/Run/V20ContentResolutionService.cs:1380-1599,3126-3380 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs:117-173 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeRuntime.cs:550-707,928-1015 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeDefinition.cs:524-552 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/Editor/MigratedProducerOutcomeDebugScenarios.cs:19-125 | Artifacts/QA/GameplayOutcomeLedgerPhase80Focused-20260920-r80/focused-runtime-report.json | Artifacts/QA/GameplayOutcomeLedgerPhase80Compile-20260920-r161/unity-compile.log | Artifacts/QA/GameplayOutcomeLedgerPhase80FullWorldSave-20260920-r37/full-world-round-trip-playmode-report.txt",recorded,connected,"The owner-specific migrated-producer path now routes this terminal result through the catalogued MigratedProducerOutcomeReceipt. MigratedProducerOutcomeRuntime reserves and writes that payload, commits the persisted migrated-producer owner revision with the GameplayOutcomeLedger through the owner transaction, restores the prior revision on a non-durable commit, and retains the durable stream for replay. The retained production source evidence identifies the owner path; r80 passed all 57 catalogued producers, r161 compiled the final source, and r37 restored the canonical full-world baseline.",11,Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:1303:V20CampaignApplicationAdapter.V20ResolvedEventResult | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:3356:V20CampaignRuntime.ObservedIncidentResponseSaveData | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:4528:V20CampaignRuntime.<unknown> | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:4641:V20CampaignRuntime.<unknown> | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:5107:V20CampaignRuntime.<unknown> | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:5125:V20CampaignRuntime.<unknown> | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:5174:V20CampaignRuntime.<unknown> | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:5271:V20CampaignRuntime.<unknown> | Assets/Scripts/Services/Run/V20CampaignRuntime.cs:6463:V20CampaignRuntime.CreateSocietyResolvedResult | Assets/Scripts/Services/Run/V20ContentResolutionService.cs:3462:transition.V20ResolvedEventResult | Assets/Scripts/Services/Run/V20ContentResolutionService.cs:3536:transition.CharacterId,0,0,contextFactionId | participantCharacterIds,terminalOutcomeNarrative,"The production owner supplies the terminal result to the catalogued MigratedProducerOutcomeReceipt path; MigratedProducerOutcomeRuntime writes the reserved outcome before advancing its persisted owner revision, then commits the prepared owner token through IGameplayOutcomeTransaction and restores the prior revision if durable commit fails.","implemented: prepared receipt and monotonic migrated-producer owner revision are validated before IGameplayOutcomeTransaction.Commit or CommitBatch; durable failure restores the prior revision, while durable success returns the canonical outcome identity.","MigratedProducerOutcomeSaveSection (narrative.migrated-producer-outcomes), dependent on GameplayOutcomeLedgerSaveSection, persists migrated-producer owner revisions; GameplayOutcomeLedgerSaveSection persists the canonical outcome.",ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs | Assets/Scripts/Services/Character/PopulationSocialRuntime.cs | Assets/Scripts/Services/Run/FactionContractDeliveryApplicationAdapter.cs | Assets/Scripts/Services/Run/GuestRequestDeliveryRuntime.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs | Assets/Scripts/Services/Run/V20CampaignRuntime.cs | Assets/Scripts/Services/Run/V20ContentResolutionService.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/MigratedProducers/MigratedProducerOutcomeContracts.cs
VisitorFacilityCombatDamageCommittedEvent,struct,Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs,6,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,NonResult,Post-canonical facility-context projection emitted after combat damage commits so the society-event subsystem can capture an observed brawl.,NonResult,Post-canonical facility-context projection emitted after combat damage commits so the society-event subsystem can capture an observed brawl.,True,CombatDamageOutcomeReceipt plus ObservedMealIncidentCaptureResult,Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs:619-688 | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:1408-1445,N/A,excluded,CombatDamageOutcomeReceipt owns the damage and ObservedMealIncidentCaptureResult owns the derived incident; the bridge event must not be recorded separately.,2,Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs:1489:CombatCommandResultApplier.<unknown> | Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs:1490:CombatCommandResultApplier.VisitorFacilityCombatDamageCommittedEvent,1,1,customerCharacterId | customerWasAttacker | facilityInstanceId | otherParticipantCharacterId,absoluteDay | actualDamage,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,
